page,chunk_id,label,bootstrap_score,text_preview,full_text
36,36_5,Finance,2,"al Plan for 
Phase II.  
122 Two-wheeler (USD0.02 per km); car (USD0.06 per km); auto (USD0.03 per km); and bus (USD0.16 USD 
per km).  
123 This was updated to 202 3 price level using a 5 percent escalation factor (as prescribed per MOHUA ). 
124 KMRL. Source: Kerala Police Statistics.  
125 The treatment cost for CO 2 considered was the midpoint value from : AIIB  “Guidance Note on Cost 
Benefit...","al Plan for 
Phase II.  
122 Two-wheeler (USD0.02 per km); car (USD0.06 per km); auto (USD0.03 per km); and bus (USD0.16 USD 
per km).  
123 This was updated to 202 3 price level using a 5 percent escalation factor (as prescribed per MOHUA ). 
124 KMRL. Source: Kerala Police Statistics.  
125 The treatment cost for CO 2 considered was the midpoint value from : AIIB  “Guidance Note on Cost 
Benefit Analysis of Projects ”; July 2023."
37,37_1,Finance,6,"32 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
• Reduced Road Infrastructure Cost. As traffic congestion on the roads will 
decrease, the need for maintenance or expansion of existing road infrastructure 
will also decrease. An indicative cost of USD0.07 per vehicle km126 was 
considered and corresponding savings were estimated using the total length 
saved owing to the divert...","32 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
• Reduced Road Infrastructure Cost. As traffic congestion on the roads will 
decrease, the need for maintenance or expansion of existing road infrastructure 
will also decrease. An indicative cost of USD0.07 per vehicle km126 was 
considered and corresponding savings were estimated using the total length 
saved owing to the diverted vehicles.  
• Residual Value.  Only the civil works (i.e., viaduct, station, staff quarter, and NMT 
works) were taken into account with an assumption that those would be 
depreciated in 50 years. The straight -line depreciation method was used for the 
calculation.127 
 
Table 1: Annual Benefits and Costs (USD million)  Evaluation 
Year  
Economic 
Capex  
Economic 
O&M Cost  
Economic 
Capital 
Replacement 
Cost  
VOT Savings  
VOC Savings  
Benefits due 
to Accident 
Reduction  
Benefits due 
to Pollution 
Reduction  
Reduced 
Road 
Infrastructure 
Cost  
Residual 
Value  
Net Benefit  
"
37,37_2,Information Technology,3,"l 
Replacement 
Cost  
VOT Savings  
VOC Savings  
Benefits due 
to Accident 
Reduction  
Benefits due 
to Pollution 
Reduction  
Reduced 
Road 
Infrastructure 
Cost  
Residual 
Value  
Net Benefit  
2023  (43.5)  - - - - - - - - (43.5)  
2024  (77.6)  - - - - - - - - (77.6)  
2025  (37.9)  - - - - - - - - (37.9)  
2026  (30.3)  - - - - - - - - (30.3)  
2027  - (6.7) - 14.8 3.1 0.2 0.6 0.5 - 12.5 ...","l 
Replacement 
Cost  
VOT Savings  
VOC Savings  
Benefits due 
to Accident 
Reduction  
Benefits due 
to Pollution 
Reduction  
Reduced 
Road 
Infrastructure 
Cost  
Residual 
Value  
Net Benefit  
2023  (43.5)  - - - - - - - - (43.5)  
2024  (77.6)  - - - - - - - - (77.6)  
2025  (37.9)  - - - - - - - - (37.9)  
2026  (30.3)  - - - - - - - - (30.3)  
2027  - (6.7) - 14.8 3.1 0.2 0.6 0.5 - 12.5 
2028  - (6.8) - 16.7 3.3 0.2 0.7 0.6 - 14.7 
2029  - (6.8) - 18.9 3.5 0.2 0.7 0.6 - 17.2 
2030  - (6.9) - 21.3 3.8 0.2 0.8 0.7 - 19.9 
2031  - (7.0) - 24.0 4.0 0.2 0.9 0.7 - 23.0 
2032  - (7.0) (6.0) 27.0 4.3 0.3 0.9 0.8 - 20.3 
2033  - (7.1) - 30.4 4.6 0.3 1.0 0.8 - 30.1 
2034  - (7.1) - 34.1 5.0 0.3 1.1 0.9 - 34.3 
2035  - (7.2) - 38.3 5.3 0.3 1.2 0.9 - 38.9 
2036  - (7.3) - 43.0 5.7 0.3 1.3 1.0 - 44.1 
2037  - (7.3) (3.0) 48.2 6.1 0.3 1.4 1.1 - 46.8 
2038  - (7.4) - 53.9 6.5 0.4 1.6 1.1 - 56.1 
2039  - (7.5) - 60.4 7.0 0.4 1.7 1.2 - 63.2 
2040  - (7.7) - 67.6 7.5 0.4 1.9 1.3 - 71.0 
2041  "
37,37_3,Project Management,2,"0 - 44.1 
2037  - (7.3) (3.0) 48.2 6.1 0.3 1.4 1.1 - 46.8 
2038  - (7.4) - 53.9 6.5 0.4 1.6 1.1 - 56.1 
2039  - (7.5) - 60.4 7.0 0.4 1.7 1.2 - 63.2 
2040  - (7.7) - 67.6 7.5 0.4 1.9 1.3 - 71.0 
2041  - (7.8) - 75.6 8.0 0.4 2.0 1.4 - 79.7 
2042  - (7.9) (9.0) 84.5 8.6 0.5 2.2 1.5 - 80.3 
2043  - (8.0) - 94.4 9.2 0.5 2.4 1.6 - 100.1  
2044  - (8.1) (11.0)  105.5  9.8 0.5 2.6 1.7 - 101.0  
2045  - (8...","0 - 44.1 
2037  - (7.3) (3.0) 48.2 6.1 0.3 1.4 1.1 - 46.8 
2038  - (7.4) - 53.9 6.5 0.4 1.6 1.1 - 56.1 
2039  - (7.5) - 60.4 7.0 0.4 1.7 1.2 - 63.2 
2040  - (7.7) - 67.6 7.5 0.4 1.9 1.3 - 71.0 
2041  - (7.8) - 75.6 8.0 0.4 2.0 1.4 - 79.7 
2042  - (7.9) (9.0) 84.5 8.6 0.5 2.2 1.5 - 80.3 
2043  - (8.0) - 94.4 9.2 0.5 2.4 1.6 - 100.1  
2044  - (8.1) (11.0)  105.5  9.8 0.5 2.6 1.7 - 101.0  
2045  - (8.3) - 117.7  10.5 0.6 2.8 1.8 - 125.2  
2046  - (8.4) - 131.4  11.2 0.6 3.1 2.0 - 139.9  
2047  - (8.5) (15.0)  146.6  12.0 0.6 3.3 2.1 - 141.3  
2048  - (8.6) - 163.5  12.9 0.7 3.7 2.3 - 174.4  
2049  - (8.7) - 182.3  13.8 0.7 4.0 2.4 - 194.5  
2050  - (8.9) - 203.2  14.8 0.7 4.3 2.6 - 216.8  
2051  - (9.0) - 226.4  15.8 0.8 4.6 2.8 - 241.4  
2052  - (9.1) - 252.1  16.9 0.8 5.0 3.0 62.8 331.6  
Source: AIIB PT.  
 
 
 
126 DMRC; “Detailed Project Report for Ahmedabad Metro Rail Project Phase I ”; 2014.  
127 Same amount of depreciation was deducted over a period of 50 years."
38,38_1,Information Technology,10,"33 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
4. Results and Sensitivity Analysis . Initially, the estimated EIRR and ENPV were 
16.24 percent and USD49 million, respectively.128 The calculation was further updated 
during the appraisal where the following key changes were made: (i) the update of the 
ridership data considering Phase I performance and the first year of operat...","33 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
4. Results and Sensitivity Analysis . Initially, the estimated EIRR and ENPV were 
16.24 percent and USD49 million, respectively.128 The calculation was further updated 
during the appraisal where the following key changes were made: (i) the update of the 
ridership data considering Phase I performance and the first year of operation, (ii) the 
use of constant cost and price for the evalu ation period, (iii) the reduction of the speed 
of the mode -wise vehicle for both ‘with metro’ and ‘without metro’ scenario, and (iv) 
inclusion of residual value.  According to the updated calculation, t he project is 
economically viable, with an EIRR of 15.25  percent. The overall ENPV is approximately 
USD 220 million129. A sensitivity analysis was carried out with the following  scenarios: (i) 
a 25 percent  increase in costs; (ii) a 25 percent  decrease in benefits; (iii) a 25 percent 
reduction in ridership, and (iv) a combine"
38,38_2,Information Technology,11,"ty analysis was carried out with the following  scenarios: (i) 
a 25 percent  increase in costs; (ii) a 25 percent  decrease in benefits; (iii) a 25 percent 
reduction in ridership, and (iv) a combinedly 25 percent increase in cost and 25 percent 
decrease in benefits . The project remains viable in all scenarios .  
Table 2: Summary of Sensitivity Analysis  
 Particulars  EIRR  ENPV (USD  
millio...","ty analysis was carried out with the following  scenarios: (i) 
a 25 percent  increase in costs; (ii) a 25 percent  decrease in benefits; (iii) a 25 percent 
reduction in ridership, and (iv) a combinedly 25 percent increase in cost and 25 percent 
decrease in benefits . The project remains viable in all scenarios .  
Table 2: Summary of Sensitivity Analysis  
 Particulars  EIRR  ENPV (USD  
million ) 
Base Scenario  15.25%  220 
25 percent Increase in Cost  13.15%  167 
25 percent Decrease in Benefits  12.25%  101 
25 percent Reduction in Ridership  14.00%  168 
Combination of 25 percent Increase in Cost and 25 
percent Decrease in Benefits  10.34%  47 
Source: AIIB PT.  
 
B. Financial Analysis  
5. The financial viability of the project was assessed  taking into account the 
financial  costs  (capital, O&M, and additional capital cost) , and revenues  (farebox  and 
non-farebox). The evaluation period was considered  for 30 years, including 26 years of 
operation and 4 years of const"
38,38_3,Information Technology,10,"osts  (capital, O&M, and additional capital cost) , and revenues  (farebox  and 
non-farebox). The evaluation period was considered  for 30 years, including 26 years of 
operation and 4 years of construction.  Initially, the estimated FIRR of the project was 
6.69 percent.130 During the appraisal, the calculation was slightly adjusted. Key changes 
made were (i) an update of the ridership data as ...","osts  (capital, O&M, and additional capital cost) , and revenues  (farebox  and 
non-farebox). The evaluation period was considered  for 30 years, including 26 years of 
operation and 4 years of construction.  Initially, the estimated FIRR of the project was 
6.69 percent.130 During the appraisal, the calculation was slightly adjusted. Key changes 
made were (i) an update of the ridership data as mentioned above, (ii) an increase of 
fare unit rate by 5.6 percent131 instead of 7.5 percent,132 and (iii) an increase of all the 
costs annually until the end of the evaluation period.  
 
6. Financial Costs.  In line with the economic analysis, the following costs were 
identified : (i) capital cost (including the construction cost of the viaduct, stations, cost of 
rolling stock, electrical and mechanical systems), (ii) O&M expenses (i.e., staff, energy, 
and regular maintenance), and (iii) replacement cost for the rolling stock, and som e 
equipment.  
• Capital Cost . It considers  facto"
38,38_4,Finance,6,"d mechanical systems), (ii) O&M expenses (i.e., staff, energy, 
and regular maintenance), and (iii) replacement cost for the rolling stock, and som e 
equipment.  
• Capital Cost . It considers  factors such as escalation, interest fees, central and 
state taxes ,133 and contingencies. Land costs and expenses under the PPP 
 
 
128 DPR  (a discount rate of 14 percent was utilized).  
129 Using a d...","d mechanical systems), (ii) O&M expenses (i.e., staff, energy, 
and regular maintenance), and (iii) replacement cost for the rolling stock, and som e 
equipment.  
• Capital Cost . It considers  factors such as escalation, interest fees, central and 
state taxes ,133 and contingencies. Land costs and expenses under the PPP 
 
 
128 DPR  (a discount rate of 14 percent was utilized).  
129 Using a discount rate of 9 percent.  
130 DPR.  
131 Considering the average inflation rate  of India  for the  last 10 years . 
132 7.5 percent was the value utilized in the latest DPR.  
133 The tax rates are estimated keeping it aligned with other metro rail projects  in India  (applicable GST 
rates of 12  percent  on various components , except for the rolling stock , which is considered as 5  percent )."
39,39_1,Finance,4,"34 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
element were excluded, as they do not entail direct financial outflows from KMRL. 
The capital cost, estimated at USD216.1 million, is based on the 2023 price level.  
• O&M Cost . A 5 percent escalation for staff wages, 3 percent for maintenance, 
and 1.3 percent for energy prices were applied to align with the base year level 
o...","34 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
element were excluded, as they do not entail direct financial outflows from KMRL. 
The capital cost, estimated at USD216.1 million, is based on the 2023 price level.  
• O&M Cost . A 5 percent escalation for staff wages, 3 percent for maintenance, 
and 1.3 percent for energy prices were applied to align with the base year level 
of the evaluation period.134 An additional 3 percent annual growth was assumed 
for staff wages and maintenance costs throughout the evaluation period.135  
• Replacement Cost . An escalation of 5 percent was considered for the fifth year 
since the beginning of the operation . After that, the same unit price  for the rolling 
stock  was taken into consideration for the remainder of the period.136 
 
7. Revenues.  The following t wo revenue streams were considered for calculation.  
• Farebox Revenue.  This has been estimated considering the distance -based 
proportion of ridership number  and "
39,39_2,Operations,7,"
 
7. Revenues.  The following t wo revenue streams were considered for calculation.  
• Farebox Revenue.  This has been estimated considering the distance -based 
proportion of ridership number  and an escalation of 5.6 percent . 137   
• Non-fare box revenue.  The income from station naming rights, advertising rights, 
station area rentals, and property development at the metro stations are incl...","
 
7. Revenues.  The following t wo revenue streams were considered for calculation.  
• Farebox Revenue.  This has been estimated considering the distance -based 
proportion of ridership number  and an escalation of 5.6 percent . 137   
• Non-fare box revenue.  The income from station naming rights, advertising rights, 
station area rentals, and property development at the metro stations are included 
in this revenue stream . As a conservative approach, only 3 stations  were 
considered  for station naming rights, and the lease charge was estimated as 
USD0.4 million  per annum  per station  (lower than Phase I). The unit pric e for 
property development, station area rentals, and advertisement rights has been 
derived from Phase I . An escalation of 2.5 p ercent was taken into consideration 
throughout the evaluation period ( since the actual escalation offered in Phase I 
contracts is 7.5  percent  for every 3 years ). The available area for advertisement 
rights and property develo"
39,39_3,Finance,6,"ion 
throughout the evaluation period ( since the actual escalation offered in Phase I 
contracts is 7.5  percent  for every 3 years ). The available area for advertisement 
rights and property development was considered to be let out in a phased 
manner.  KMRL has also prepared a proposal for TOD activities which is currently 
under review by GOK. However, the estimated VCFs from the TOD activiti...","ion 
throughout the evaluation period ( since the actual escalation offered in Phase I 
contracts is 7.5  percent  for every 3 years ). The available area for advertisement 
rights and property development was considered to be let out in a phased 
manner.  KMRL has also prepared a proposal for TOD activities which is currently 
under review by GOK. However, the estimated VCFs from the TOD activities 
have not been taken into account in this calculation.  
Table 3: Annual Revenue and Financial Costs (USD million)  
Period  Capital 
Cost  O&M 
cost Replacement 
Cost  Farebox 
Revenue 
Payment to Pvt. 
Partner  Fare 
Box 
Revenue  Non Fare 
Box 
Revenue  Net 
Cash 
Flow  
2023  (60.4)  - - - - - (60.4)  
2024  (107.7)  - - - - - (107.7)  
2025  (52.5)  - - - - - (52.5)  
2026  (42.0)  - - - - - (42.0)  
2027  - (8.9) - (0.3) 6.4 5.1 2.3 
2028  - (9.3) - (0.3) 7.2 5.2 2.8 
2029  - (9.6) - (0.3) 8.0 5.6 3.8 
2030  - (9.9) - (0.4) 9.0 5.8 4.5 
2031  - (10.3)  - (0.4) 10.1 6.3 5.6 
2032  - (1"
39,39_4,Finance,3," - (42.0)  
2027  - (8.9) - (0.3) 6.4 5.1 2.3 
2028  - (9.3) - (0.3) 7.2 5.2 2.8 
2029  - (9.6) - (0.3) 8.0 5.6 3.8 
2030  - (9.9) - (0.4) 9.0 5.8 4.5 
2031  - (10.3)  - (0.4) 10.1 6.3 5.6 
2032  - (10.7)  (7.2) (0.5) 11.3 6.4 (0.7) 
2033  - (11.0)  - (0.5) 12.6 6.9 8.0 
 
 
134 The staff cost has been escalated by 5 percent per year  from 2013 onwards considering the escalation 
in manpower cost ..."," - (42.0)  
2027  - (8.9) - (0.3) 6.4 5.1 2.3 
2028  - (9.3) - (0.3) 7.2 5.2 2.8 
2029  - (9.6) - (0.3) 8.0 5.6 3.8 
2030  - (9.9) - (0.4) 9.0 5.8 4.5 
2031  - (10.3)  - (0.4) 10.1 6.3 5.6 
2032  - (10.7)  (7.2) (0.5) 11.3 6.4 (0.7) 
2033  - (11.0)  - (0.5) 12.6 6.9 8.0 
 
 
134 The staff cost has been escalated by 5 percent per year  from 2013 onwards considering the escalation 
in manpower cost due to pay revision and increase in dearness allowance  following KMRL’s current practice . 
The escalation  factors  for O&M expense and energy rate are from Phase I ’s experience.  
135 This is because  the annual increment of labor in India is 3  percent.  
136 The assumption taken was that the cost of rolling stock would stabilize eventually . 
137 The fare structure  of Phase I  has been kept constant since the beginning of its operation . However, t he 
fare can be escalated based on the recommendation of the Fare Fixation Committee as per The Metro 
Railway (Operations and Maintenance) "
39,39_5,Operations,3," constant since the beginning of its operation . However, t he 
fare can be escalated based on the recommendation of the Fare Fixation Committee as per The Metro 
Railway (Operations and Maintenance) Act, 2002. According to the F are Fixation Committee  of DMRC , a 
yearly escalation of 7  percent  or the increase in the operation cost, whichever is lower , is recommended ."," constant since the beginning of its operation . However, t he 
fare can be escalated based on the recommendation of the Fare Fixation Committee as per The Metro 
Railway (Operations and Maintenance) Act, 2002. According to the F are Fixation Committee  of DMRC , a 
yearly escalation of 7  percent  or the increase in the operation cost, whichever is lower , is recommended ."
40,40_1,Finance,5,"35 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Period  Capital 
Cost  O&M 
cost Replacement 
Cost  Farebox 
Revenue 
Payment to Pvt. 
Partner  Fare 
Box 
Revenue  Non Fare 
Box 
Revenue  Net 
Cash 
Flow  
2034  - (11.4)  - (0.6) 14.2 7.1 9.2 
2035  - (11.8)  - (0.6) 15.8 7.6 11.0 
2036  - (12.2)  - (0.7) 17.8 7.8 12.6 
2037  - (12.7)  (3.6) (0.8) 19.9 8.4 11.2 
2038  - (13.2) ...","35 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Period  Capital 
Cost  O&M 
cost Replacement 
Cost  Farebox 
Revenue 
Payment to Pvt. 
Partner  Fare 
Box 
Revenue  Non Fare 
Box 
Revenue  Net 
Cash 
Flow  
2034  - (11.4)  - (0.6) 14.2 7.1 9.2 
2035  - (11.8)  - (0.6) 15.8 7.6 11.0 
2036  - (12.2)  - (0.7) 17.8 7.8 12.6 
2037  - (12.7)  (3.6) (0.8) 19.9 8.4 11.2 
2038  - (13.2)  - (0.9) 22.3 8.6 16.8 
2039  - (13.7)  - (1.0) 24.9 9.2 19.5 
2040  - (14.3)  - (1.1) 27.9 9.4 22.0 
2041  - (14.8)  - (1.3) 31.3 9.7 24.9 
2042  - (15.4)  (10.8)  (1.4) 35.0 9.9 17.3 
2043  - (16.0)  - (1.6) 39.2 10.2 31.9 
2044  - (16.6)  (13.2)  (1.8) 44.0 10.5 22.8 
2045  - (17.2)  - (2.0) 49.2 10.8 40.8 
2046  - (17.9)  - (2.2) 55.1 11.0 46.0 
2047  - (18.6)  (18.0)  (2.5) 61.7 11.3 34.0 
2048  - (19.2)  - (2.8) 69.2 11.6 58.7 
2049  - (19.9)  - (3.1) 77.5 11.8 66.2 
2050  - (20.7)  - (3.5) 86.7 12.1 74.7 
2051  - (21.4)  - (3.9) 97.2 12.4 84.2 
2052  - (22.2)  - (4.4) 108.8  12.7 95.0 
"
40,40_2,Information Technology,4,"48  - (19.2)  - (2.8) 69.2 11.6 58.7 
2049  - (19.9)  - (3.1) 77.5 11.8 66.2 
2050  - (20.7)  - (3.5) 86.7 12.1 74.7 
2051  - (21.4)  - (3.9) 97.2 12.4 84.2 
2052  - (22.2)  - (4.4) 108.8  12.7 95.0 
Source: AIIB PT.  
 
8. Outcome of the financial analysis.  The updated evaluation results show that 
Phase II  has an estimated post -tax real FIRR of 4.98 percent.  The sensitivity analysis 
indicat...","48  - (19.2)  - (2.8) 69.2 11.6 58.7 
2049  - (19.9)  - (3.1) 77.5 11.8 66.2 
2050  - (20.7)  - (3.5) 86.7 12.1 74.7 
2051  - (21.4)  - (3.9) 97.2 12.4 84.2 
2052  - (22.2)  - (4.4) 108.8  12.7 95.0 
Source: AIIB PT.  
 
8. Outcome of the financial analysis.  The updated evaluation results show that 
Phase II  has an estimated post -tax real FIRR of 4.98 percent.  The sensitivity analysis 
indicates that t he project would be financially viable if the growth rate in fare structure is 
greater than 2. 24 percent.   
Table 4: Sensitivity Analysis to the Growth Rate of the  Fare Structure  
Growth Rate  FIRR  Growth Rate  FIRR  
Base (5.6%)  4.98%  3.0%  1.25%  
0.0%  (4.64% ) 4.0%  2.76%  
1.0%  (2.31% ) 5.0%  4.17%  
2.0%  (0.41% ) 6.0% 5.51% 
Source: AIIB PT."
41,41_1,Information Technology,6,"36 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Annex 3: Sovereign Credit Fact Sheet  
A. Recent Economic Development  
 
1. India is a lower -middle -income country, with a GDP per capita of USD2379.2 
and a population of ~1.4 billion in 2022.138 India’s economy grew at an average annual 
rate of 7.4 percent between FY2014 and FY2018 but slowed down in the years before 
the pa...","36 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
Annex 3: Sovereign Credit Fact Sheet  
A. Recent Economic Development  
 
1. India is a lower -middle -income country, with a GDP per capita of USD2379.2 
and a population of ~1.4 billion in 2022.138 India’s economy grew at an average annual 
rate of 7.4 percent between FY2014 and FY2018 but slowed down in the years before 
the pandemic following disruptions due to demonetization, rollout of goods and services 
tax, rural distress, and stress in the finan cial sector.139140 India’s GDP contracted by 5.8 
percent in FY2020 (year ending in March 2021) on account of stringent lockdown 
restrictions imposed during the first half of the year. With increased mobility and 
favorable base effect, the Indian economy grew by 9.1 percent in FY2021 and 7.2 
percent in FY2022. Even though the economy grew by 7.8 percent in the first quarter of 
FY2023, with waning of the pent -up demand from the lockdown, weakening of exports, 
and"
41,41_2,Procurement,6,"cent in FY2021 and 7.2 
percent in FY2022. Even though the economy grew by 7.8 percent in the first quarter of 
FY2023, with waning of the pent -up demand from the lockdown, weakening of exports, 
and tighter fiscal and monetary policy impacting aggregate demand, t he economy is 
expected to slow down.  
 
2. Inflation averaged 6.2 percent in FY2020, primarily driven by food inflation due 
to supp...","cent in FY2021 and 7.2 
percent in FY2022. Even though the economy grew by 7.8 percent in the first quarter of 
FY2023, with waning of the pent -up demand from the lockdown, weakening of exports, 
and tighter fiscal and monetary policy impacting aggregate demand, t he economy is 
expected to slow down.  
 
2. Inflation averaged 6.2 percent in FY2020, primarily driven by food inflation due 
to supply side disruptions. As a response to the pandemic, the Reserve Bank of India 
(RBI) introduced measures to improve credit flow to the productive sectors. Policy rates 
remained unchanged with the RBI maintaining an accommodative stance between 
August 2020 and April 2022. Retail inflation averaged 6.7 percent in FY2022, well above 
the 4± 2 percent inflation targeting band. Elevated food and fuel prices have contributed 
significantly to the rise in inflation  which led the RBI to increase  the repo rate by a 
cumulative 250 basis points between May 2022 and February 2023 , which now stands 
"
41,41_3,Information Technology,7," prices have contributed 
significantly to the rise in inflation  which led the RBI to increase  the repo rate by a 
cumulative 250 basis points between May 2022 and February 2023 , which now stands 
at 6.5 percent. RBI expects inflation to moderate at ~5 percent in FY2023 due to easing 
of commodity prices. In April 2023, it decided to pause the tightening cycle  while 
indicating a gradual withd..."," prices have contributed 
significantly to the rise in inflation  which led the RBI to increase  the repo rate by a 
cumulative 250 basis points between May 2022 and February 2023 , which now stands 
at 6.5 percent. RBI expects inflation to moderate at ~5 percent in FY2023 due to easing 
of commodity prices. In April 2023, it decided to pause the tightening cycle  while 
indicating a gradual withdrawal of the accommodative stance. From March to June 2023 , 
inflation moderated and remained within the target band of 4± 2 percent  but spiked in 
July and August 2023 due to high food inflation but moderated to 5 percent in September 
2023. The RBI maintained a pause in its October 2023 policy meeting.   
 
3. A downturn in revenue due to economic slowdown and higher spending on the 
stimulus package resulted in the fiscal deficit widening significantly to 12.8 percent of 
GDP in FY2020. The o verall deficit moderated to 10 percent in FY2021 on the back of 
strong revenue collection, that "
41,41_4,Information Technology,14,"package resulted in the fiscal deficit widening significantly to 12.8 percent of 
GDP in FY2020. The o verall deficit moderated to 10 percent in FY2021 on the back of 
strong revenue collection, that allowed capital expenditure to overshoot its target. The 
deficit in FY2022 was similar to FY2021 with both revenue and expenditure growing at 
over 13 percent. A decline in  the federal government de...","package resulted in the fiscal deficit widening significantly to 12.8 percent of 
GDP in FY2020. The o verall deficit moderated to 10 percent in FY2021 on the back of 
strong revenue collection, that allowed capital expenditure to overshoot its target. The 
deficit in FY2022 was similar to FY2021 with both revenue and expenditure growing at 
over 13 percent. A decline in  the federal government deficit in FY2022 was offset by an 
increase in the deficit of the states. From April to September 2023, the fiscal deficit 
reached 39.3 percent of the annual target, higher than the previous year. A moderation 
in the deficit and pickup in economic activity helped public debt to decline to 8 1 percent 
of GDP in FY2022.  
 
 
 
138 The income group classification is based on World Bank criteria. Data from the World Economic Outlook 
(WEO), October 2023.  
139 Data are based on fiscal years. Fiscal year 2021 (FY2021) begins on April 1, 2021, and ends on March 
31, 2022.  
140 On November  8, 20"
41,41_5,Procurement,1,"ata from the World Economic Outlook 
(WEO), October 2023.  
139 Data are based on fiscal years. Fiscal year 2021 (FY2021) begins on April 1, 2021, and ends on March 
31, 2022.  
140 On November  8, 2016,  GOI announced withdrawal of the legal tender of INR500 and INR1,000 notes, 
which accounted for 86 percent of the value of currency in circulation, and introduction of new INR500 and 
INR2,000 no...","ata from the World Economic Outlook 
(WEO), October 2023.  
139 Data are based on fiscal years. Fiscal year 2021 (FY2021) begins on April 1, 2021, and ends on March 
31, 2022.  
140 On November  8, 2016,  GOI announced withdrawal of the legal tender of INR500 and INR1,000 notes, 
which accounted for 86 percent of the value of currency in circulation, and introduction of new INR500 and 
INR2,000 notes."
42,42_1,Information Technology,7,"37 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
4. After posting a surplus in FY2020, the current account reverted to a deficit of 1.2 
percent of GDP in FY2021 as merchandise imports surged while services exports 
remained stagnant. Private transfers , including remittances, remained strong with a net 
inflow of USD 81.2 billion in FY2021. In FY2022 the current account deficit...","37 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
4. After posting a surplus in FY2020, the current account reverted to a deficit of 1.2 
percent of GDP in FY2021 as merchandise imports surged while services exports 
remained stagnant. Private transfers , including remittances, remained strong with a net 
inflow of USD 81.2 billion in FY2021. In FY2022 the current account deficit rose to 2. 0 
percent of GDP mainly due to higher merchandise trade deficit. Net receipts from 
services trade and remittances inched up during this period. Net foreign direct 
investment ( FDI) inflows, at USD 28 billion, decreased by 27 percent in FY2022 due to 
global uncertainties.  The e xternal debt stood at USD 629.1  billion (1 8.6 percent of GDP) 
in June  2023. India’s reserve holdings stood at USD5 86.1 billion as of October 27,  2023. 
Reserves remain adequate according to conventional measures.  
 
5. In May 2023, Fitch and S&P affirmed India’s outlook as stable, while retaining "
42,42_2,Information Technology,2,"stood at USD5 86.1 billion as of October 27,  2023. 
Reserves remain adequate according to conventional measures.  
 
5. In May 2023, Fitch and S&P affirmed India’s outlook as stable, while retaining 
the BBB - rating. In June 2020, Moody’s downgraded India’s rating to Baa3 with a 
negative outlook but revised the outlook to stable in October 2021 and retained the same 
rating a nd outlook in Augu...","stood at USD5 86.1 billion as of October 27,  2023. 
Reserves remain adequate according to conventional measures.  
 
5. In May 2023, Fitch and S&P affirmed India’s outlook as stable, while retaining 
the BBB - rating. In June 2020, Moody’s downgraded India’s rating to Baa3 with a 
negative outlook but revised the outlook to stable in October 2021 and retained the same 
rating a nd outlook in August  2023.   
 
B. Economic Indicators  
 
6. The most relevant economic indicators are summarized in the table below:  
Economic Indicators  FY2020  FY2021  FY2022  FY2023*  FY2024*  
Real GDP growth  -5.8 9.1 7.2 6.3 6.3 
Consumer Price Index ( CPI) inflation 
(average, % change)  6.2 5.5 6.7 5.5 4.6 
Current account balance (% of GDP)  0.9 -1.2 -2.0 -1.8 -1.8 
General government overall balance (% of 
GDP)  -12.9 -9.6 -9.2 -8.8 -8.5 
General government gross debt (% of GDP)  88.5 83.8 81.0 81.9 82.3 
Public gross financing needs (% of GDP)  18.7 15.6 16.2 15.3 14.7 
External debt (% of GDP) "
